Def Pass Rank,Team,GP_pass_def,CMP_def,ATT_def,CMP%_def,PYA,PYPA_def,PYPG_def,TD_pass_def,INT_def,SCK_def,Week,Def Rec Rank,GP_rec_def,REC_def,RY_def,YP_def,RYPG_def,TD_rec_def,FUM_def,FL_def,Def Rush Rank,GP_def,ATT_rush_def,RY_rush_def,YPC_def,RYPG_rush_def,TD_def,FUM_rush_def,FL_rush_def,Off Pass Rank,GP_pass_off,ATT_off,CMP_off,CMP%_off,PY,PYPA_off,PYPG_off,TD_pass_off,INT_off,SCK_off,Off Rec Rank,GP_rec_off,REC_off,RY_off,YP_off,RYPG_off,TD_rec_off,FUM_off,FL_off,Off Rush Rank,GP_off,ATT_rush_off,RY_rush_off,YPC_off,RYPG_rush_off,TD_off,FUM_rush_off,FL_rush_off,Kick Rank,GP_kicking,FGM,FGA,FG%,FG%_Missing,XPA,XPM,XP%,XP%_Missing,Punt Rank,GP_punt,PUNTS,PYDS,PYPG,PYPG_Missing,PB,PR,PRYDS,PRYPG,PRYPG_Missing,Return Rank,GP,KR,KRYDS,KRYPG,KRYPG_Missing,KRLNG,KRT,PR_return,PRYDS_return,PRYPG_return,PRYPG_return_Missing,PRLNG,PRT,Win
22,WAS,1,24,42,57.1,260,6.2,260,1,1,2,Week 1,22,1,24,260,6.2,260,1,1,0,20,1,18,123,6.8,123,1,1,0,4,1,41,27,65.9,305,7.4,305,4,2,1,4,1,27,305,7.4,305,4,1,1,20,1,28,85,3,85,0,1,1,31,1,0,0,0,1,2,2,100,0,15,1,3,147,49,0,0,2,22,11,0,21,17,41,902,22,0,45,0,44,336,7.6,0,19,0,1
23,NYG,1,20,33,60.6,266,8.1,266,2,0,1,Week 1,23,1,20,266,8.1,266,2,2,1,14,1,26,93,3.6,93,0,2,1,29,1,21,17,81,156,7.4,156,2,1,5,29,1,17,156,7.4,156,2,2,1,1,1,32,238,7.4,238,1,2,1,32,1,0,0,0,1,1,1,100,0,7,1,6,309,51.5,0,0,5,62,12.4,0,20,19,32,704,22,0,47,0,32,193,6,0,23,0,1
24,GB,1,23,32,71.9,269,8.4,269,2,0,1,Week 1,24,1,23,269,8.4,269,2,0,0,21,1,28,126,4.5,126,0,0,0,16,1,39,26,66.7,227,5.8,227,0,1,4,16,1,26,227,5.8,227,0,1,1,15,1,18,111,6.2,111,1,1,1,30,1,0,0,0,1,1,1,100,0,27,1,4,179,44.8,0,0,1,12,12,0,5,17,47,1205,25.6,0,105,1,35,316,9,0,24,0,0
25,LV,1,26,34,76.5,279,8.2,279,3,0,0,Week 1,25,1,26,279,8.2,279,3,1,0,9,1,31,76,2.5,76,0,1,0,12,1,37,22,59.5,256,6.9,256,2,3,6,12,1,22,256,6.9,256,2,3,0,29,1,13,64,4.9,64,0,3,0,9,1,2,2,100,0,1,1,100,0,5,1,2,106,53,0,0,2,4,2,0,26,17,32,668,20.9,0,33,0,27,156,5.8,0,17,0,0
26,LAR,1,26,31,83.9,292,9.4,292,3,2,2,Week 1,26,1,26,292,9.4,292,3,2,2,19,1,25,121,4.8,121,1,2,2,25,1,41,29,70.7,191,4.7,191,1,3,7,25,1,29,191,4.7,191,1,1,0,32,1,18,52,2.9,52,0,1,0,24,1,1,1,100,0,1,1,100,0,26,1,4,180,45,0,0,0,0,0,1,28,17,33,663,20.1,0,34,0,25,183,7.3,0,22,0,0
27,BAL,1,37,59,62.7,297,5,297,1,1,3,Week 1,27,1,37,297,5,297,1,2,1,12,1,17,83,4.9,83,0,2,1,19,1,30,17,56.7,211,7,211,3,1,2,19,1,17,211,7,211,3,1,0,30,1,21,63,3,63,0,1,0,20,1,1,1,100,0,3,3,100,0,17,1,6,291,48.5,0,0,2,17,8.5,0,11,18,30,724,24.1,0,103,1,22,240,10.9,0,46,0,1
28,PIT,1,33,53,62.3,299,5.6,299,2,4,7,Week 1,28,1,33,299,5.6,299,2,2,1,23,1,34,133,3.9,133,0,2,1,24,1,38,21,55.3,192,5.1,192,1,0,1,24,1,21,192,5.1,192,1,2,0,26,1,22,75,3.4,75,0,2,0,4,1,3,4,75,0,2,2,100,0,16,1,8,388,48.5,0,0,1,20,20,0,23,17,24,510,21.3,0,89,0,27,160,5.9,0,24,0,1
29,JAX,1,27,41,65.9,305,7.4,305,4,2,1,Week 1,29,1,27,305,7.4,305,4,1,1,13,1,28,85,3,85,0,1,1,11,1,42,24,57.1,260,6.2,260,1,1,2,11,1,24,260,6.2,260,1,1,0,13,1,18,123,6.8,123,1,1,0,7,1,3,4,75,0,1,1,100,0,13,1,3,150,50,0,0,1,2,2,0,2,19,37,992,26.8,0,63,0,34,257,7.6,0,22,0,0
30,SEA,1,29,42,69,330,7.9,330,1,0,2,Week 1,30,1,29,330,7.9,330,1,2,2,17,1,20,103,5.2,103,0,2,2,27,1,28,23,82.1,177,6.3,177,2,0,2,27,1,23,177,6.3,177,2,3,1,24,1,19,76,4,76,0,3,1,22,1,1,1,100,0,2,2,100,0,11,1,2,101,50.5,0,0,0,0,0,1,10,18,37,892,24.1,0,50,0,17,109,6.4,0,20,0,1
31,HOU,1,32,50,64,340,6.8,340,1,1,2,Week 1,31,1,32,340,6.8,340,1,5,1,27,1,38,177,4.7,177,1,5,1,17,1,37,23,62.2,222,6,222,2,0,3,17,1,23,222,6,222,2,1,1,23,1,28,77,2.8,77,0,1,1,11,1,2,2,100,0,2,2,100,0,24,1,7,318,45.4,0,0,0,0,0,1,14,17,22,513,23.3,0,50,0,37,362,9.8,0,31,0,2
