Kick Rank,Team,GP_kicking,FGM,FGA,FG%,XPA,XPM,XP%,Week,Punt Rank,GP_punt,PUNTS,PYDS,PYPG,PB,PR,PRYDS,PRYPG,Return Rank,GP,KR,KRYDS,KRYPG,KRLNG,KRT,PR_return,PRYDS_return,PRYPG_return,PRLNG,PRT
4, CAR,1,3,3,100.0,2,2,100.0,week 12,12,1,5,255,51.0,0,5,44,8.8,5,1,0,0,,0,0,5,44,8.8,21,0
5, MIA,1,3,3,100.0,3,3,100.0,week 12,16,1,6,296,49.3,0,3,22,7.3,10,1,0,0,,0,0,3,22,7.3,15,0
6, PIT,1,3,3,100.0,1,1,100.0,week 12,25,1,4,182,45.5,0,3,18,6.0,9,1,0,0,,0,0,3,18,6.0,18,0
7, TEN,1,3,4,75.0,1,1,100.0,week 12,4,1,5,269,53.8,0,4,42,10.5,26,1,1,20,20.0,20,0,4,42,10.5,13,0
8, SF,1,2,2,100.0,1,1,100.0,week 12,27,1,4,175,43.8,0,2,18,9.0,6,1,0,0,,0,0,2,18,9.0,11,0
9, SEA,1,2,2,100.0,4,4,100.0,week 12,21,1,4,191,47.8,0,1,11,11.0,18,1,2,52,26.0,26,0,1,11,11.0,11,0
10, MIN,1,2,2,100.0,4,3,75.0,week 12,6,1,3,158,52.7,0,1,11,11.0,16,1,6,166,27.7,97,1,1,11,11.0,11,0
11, BUF,1,2,2,100.0,3,2,66.7,week 12,17,1,4,197,49.3,0,0,0,,19,1,1,26,26.0,26,0,0,0,,0,0
12, JAX,1,2,2,100.0,2,2,100.0,week 12,1,1,3,206,68.7,0,0,0,,11,1,0,0,,0,0,0,0,,0,0
13, GB,1,2,2,100.0,4,3,75.0,week 12,29,1,2,83,41.5,0,0,0,,14,1,5,172,34.4,53,0,0,0,,0,0
14, LV,1,2,3,66.7,4,4,100.0,week 12,24,1,2,91,45.5,0,3,11,3.7,21,1,3,73,24.3,33,0,3,11,3.7,11,0
15, ATL,1,2,3,66.7,1,1,100.0,week 12,31,1,3,122,40.7,0,0,0,,31,1,2,28,14.0,19,0,0,0,,0,0
16, PHI,1,2,2,100.0,5,4,80.0,week 12,8,1,1,52,52.0,0,0,0,,23,1,4,91,22.8,28,0,0,0,,0,0
17, NYG,1,2,2,100.0,2,2,100.0,week 12,20,1,4,193,48.3,0,1,3,3.0,3,1,0,0,,0,0,1,3,3.0,3,0
18, CIN,1,2,2,100.0,2,2,100.0,week 12,9,1,5,259,51.8,0,2,10,5.0,30,1,1,14,14.0,14,0,2,10,5.0,10,0
19, WAS,1,2,2,100.0,2,1,50.0,week 12,28,1,3,127,42.3,0,0,0,,20,1,2,51,25.5,31,0,0,0,,0,0
20, AZ,1,1,2,50.0,3,3,100.0,week 12,13,1,3,150,50.0,0,1,15,15.0,27,1,1,19,19.0,19,0,1,15,15.0,15,0
21, IND,1,1,2,50.0,2,2,100.0,week 12,15,1,3,150,50.0,0,0,0,,13,1,5,225,45.0,89,0,0,0,,0,0
22, CLE,1,1,2,50.0,2,2,100.0,week 12,3,1,6,329,54.8,0,5,75,15.0,15,1,2,67,33.5,44,0,5,75,15.0,29,0
23, DET,1,1,2,50.0,2,2,100.0,week 12,10,1,2,103,51.5,0,2,54,27.0,24,1,4,80,20.0,24,0,2,54,27.0,41,0
24, NYJ,1,1,2,50.0,4,4,100.0,week 12,2,1,2,118,59.0,0,2,38,19.0,28,1,1,18,18.0,18,0,2,38,19.0,22,0
25, DEN,1,1,2,50.0,1,1,100.0,week 12,7,1,7,367,52.4,0,1,0,0.0,22,1,3,69,23.0,25,0,1,0,0.0,0,0
26, HOU,1,1,1,100.0,0,0,,week 12,14,1,7,350,50.0,0,5,81,16.2,29,1,2,33,16.5,19,0,5,81,16.2,26,0
27, TB,1,1,1,100.0,2,2,100.0,week 12,22,1,9,425,47.2,0,2,24,12.0,8,1,0,0,,0,0,2,24,12.0,17,0
28, LAC,1,1,1,100.0,2,2,100.0,week 12,32,1,6,234,39.0,0,2,25,12.5,7,1,0,0,,0,0,2,25,12.5,20,0
29, LAR,1,1,1,100.0,1,1,100.0,week 12,26,1,4,180,45.0,0,0,0,,17,1,3,78,26.0,29,0,0,0,,0,0
30, CHI,1,1,1,100.0,1,1,100.0,week 12,19,1,5,244,48.8,0,1,12,12.0,4,1,0,0,,0,0,1,12,12.0,12,0
31, DAL,1,0,1,0.0,4,4,100.0,week 12,11,1,1,51,51.0,0,0,0,,1,1,0,0,,0,0,0,0,,0,0
32, NO,1,0,1,0.0,0,0,,week 12,23,1,4,183,45.8,0,2,18,9.0,25,1,3,60,20.0,26,0,2,18,9.0,11,0
1, NYJ,1,5,5,100.0,1,1,100.0,week 13,27,1,2,81,40.5,0,3,37,12.3,2,1,0,0,,0,0,3,37,12.3,15,0
2, SF,1,4,4,100.0,3,3,100.0,week 13,20,1,4,178,44.5,0,2,34,17.0,12,1,2,50,25.0,31,0,2,34,17.0,20,0
3, DET,1,4,4,100.0,4,4,100.0,week 13,1,1,0,0,,0,2,20,10.0,6,1,2,71,35.5,39,0,2,20,10.0,11,0
4, PIT,1,4,4,100.0,1,1,100.0,week 13,24,1,2,85,42.5,0,2,1,0.5,1,1,0,0,,0,0,2,1,0.5,1,0
5, NO,1,3,3,100.0,1,1,100.0,week 13,22,1,6,262,43.7,0,2,59,29.5,8,1,1,30,30.0,30,0,2,59,29.5,42,0
6, DEN,1,3,4,75.0,0,0,,week 13,26,1,7,288,41.1,0,3,19,6.3,30,1,3,32,10.7,15,0,3,19,6.3,14,0
7, LAR,1,3,3,100.0,2,2,100.0,week 13,5,1,3,164,54.7,0,2,8,4.0,24,1,1,17,17.0,17,0,2,8,4.0,8,0
8, ATL,1,3,3,100.0,1,1,100.0,week 13,15,1,3,137,45.7,0,0,0,,22,1,3,55,18.3,25,0,0,0,,0,0
