Def Pass Rank,Team,GP,CMP,ATT,CMP%,PYA,PYPA,PYPG,TD,INT,SCK,Week
23, NO,1,16,25,64,245,9.8,245,3,0,3,week 5
24, IND,1,21,39,53.8,250,6.4,250,0,2,4,week 5
25, LV,1,29,43,67.4,265,6.2,265,4,0,3,week 5
26, DAL,1,29,44,65.9,285,6.5,285,1,1,5,week 5
27, HOU,1,25,47,53.2,286,6.1,286,0,2,0,week 5
28, BUF,1,34,52,65.4,310,6,310,0,1,3,week 5
29, CHI,1,33,42,78.6,312,7.4,312,1,1,1,week 5
30, TEN,1,25,38,65.8,342,9,342,2,1,3,week 5
31, ATL,1,35,52,67.3,351,6.8,351,1,0,0,week 5
32, PIT,1,22,36,61.1,432,12,432,4,1,0,week 5
1, CHI,1,12,22,54.5,86,3.9,86,0,0,3,week 6
2, GB,1,10,18,55.6,99,5.5,99,0,0,2,week 6
3, LAR,1,13,21,61.9,110,5.2,110,0,1,2,week 6
4, SF,1,13,14,92.9,121,8.6,121,2,0,2,week 6
5, DAL,1,15,25,60,132,5.3,132,2,0,4,week 6
6, IND,1,20,22,90.9,136,6.2,136,1,0,4,week 6
7, WAS,1,14,27,51.9,154,5.7,154,1,1,5,week 6
8, BAL,1,19,27,70.4,155,5.7,155,2,0,4,week 6
9, MIA,1,20,30,66.7,156,5.2,156,2,0,3,week 6
10, AZ,1,20,31,64.5,160,5.2,160,0,0,5,week 6
11, LAC,1,15,28,53.6,160,5.7,160,1,0,4,week 6
12, CIN,1,19,36,52.8,171,4.8,171,1,0,1,week 6
13, SEA,1,23,37,62.2,171,4.6,171,0,1,6,week 6
14, PHI,1,18,38,47.4,181,4.8,181,1,3,0,week 6
15, TB,1,20,30,66.7,193,6.4,193,2,0,2,week 6
16, NYG,1,17,32,53.1,195,6.1,195,1,1,2,week 6
17, NYJ,1,28,45,62.2,218,4.8,218,1,0,4,week 6
18, DEN,1,37,57,64.9,224,3.9,224,0,1,2,week 6
19, PIT,1,25,40,62.5,229,5.7,229,1,0,2,week 6
20, CAR,1,26,33,78.8,249,7.5,249,1,1,1,week 6
21, NE,1,21,45,46.7,258,5.7,258,1,2,4,week 6
22, NO,1,28,37,75.7,273,7.4,273,3,0,3,week 6
23, ATL,1,29,41,70.7,296,7.2,296,2,2,0,week 6
24, CLE,1,24,34,70.6,301,8.9,301,2,0,2,week 6
25, KC,1,27,40,67.5,318,8,318,3,0,1,week 6
26, BUF,1,25,40,62.5,319,8,319,2,2,3,week 6
27, MIN,1,30,47,63.8,385,8.2,385,2,2,6,week 6
28, JAX,1,42,58,72.4,389,6.7,389,3,0,0,week 6
1, CLE,1,9,16,56.3,94,5.9,94,0,0,3,week 7
2, DEN,1,16,26,61.5,105,4,105,0,0,3,week 7
3, CIN,1,8,13,61.5,107,8.2,107,1,0,3,week 7
4, IND,1,13,20,65,116,5.8,116,0,0,2,week 7
5, NE,1,13,21,61.9,147,7,147,1,1,4,week 7
6, TB,1,16,22,72.7,170,7.7,170,2,0,1,week 7
7, NO,1,20,29,69,189,6.5,189,1,0,2,week 7
8, CHI,1,17,28,60.7,190,6.8,190,1,3,1,week 7
9, LAC,1,20,27,74.1,190,7,190,2,1,2,week 7
10, DET,1,19,25,76,191,7.6,191,1,0,2,week 7
11, WAS,1,23,35,65.7,194,5.5,194,2,0,0,week 7
12, DAL,1,21,26,80.8,195,7.5,195,0,2,5,week 7
13, GB,1,20,33,60.6,198,6,198,2,1,1,week 7
14, JAX,1,19,30,63.3,200,6.7,200,1,0,1,week 7
15, NYJ,1,24,46,52.2,219,4.8,219,0,1,1,week 7
16, BAL,1,22,27,81.5,223,8.3,223,0,0,5,week 7
17, TEN,1,33,44,75,227,5.2,227,1,2,3,week 7
18, HOU,1,21,27,77.8,236,8.7,236,1,0,1,week 7
19, MIA,1,32,44,72.7,246,5.6,246,1,3,2,week 7
20, PIT,1,21,35,60,261,7.5,261,1,0,0,week 7
21, SEA,1,33,51,64.7,276,5.4,276,2,1,3,week 7
22, CAR,1,32,49,65.3,276,5.6,276,0,0,1,week 7
23, LV,1,28,41,68.3,296,7.2,296,2,1,1,week 7
24, NYG,1,22,44,50,310,7,310,0,0,0,week 7
25, KC,1,29,46,63,343,7.5,343,2,2,5,week 7
26, AZ,1,32,49,65.3,409,8.3,409,4,3,0,week 7
27, SF,1,25,36,69.4,417,11.6,417,3,1,1,week 7
28, ATL,1,34,42,81,459,10.9,459,3,0,3,week 7
1, HOU,1,6,10,60,40,4,40,0,1,3,week 8
2, DEN,1,18,31,58.1,114,3.7,114,1,2,2,week 8
