Def Rec Rank,Team,GP,REC,RY,YP,RYPG,TD,FUM,FL,Week
10, AZ,1,20,160,5.2,160,0,2,1,week 6
11, LAC,1,15,160,5.7,160,1,3,1,week 6
12, SEA,1,23,171,4.6,171,0,3,1,week 6
13, CIN,1,19,171,4.8,171,1,0,0,week 6
14, PHI,1,18,181,4.8,181,1,0,0,week 6
15, TB,1,20,193,6.4,193,2,1,0,week 6
16, NYG,1,17,195,6.1,195,1,2,1,week 6
17, NYJ,1,28,218,4.8,218,1,2,1,week 6
18, DEN,1,37,224,3.9,224,0,0,0,week 6
19, PIT,1,25,229,5.7,229,1,1,0,week 6
20, CAR,1,26,249,7.5,249,1,0,0,week 6
21, NE,1,21,258,5.7,258,1,3,2,week 6
22, NO,1,28,273,7.4,273,3,1,1,week 6
23, ATL,1,29,296,7.2,296,2,1,1,week 6
24, CLE,1,24,301,8.9,301,2,1,1,week 6
25, KC,1,27,318,8,318,3,1,1,week 6
26, BUF,1,25,319,8,319,2,1,0,week 6
27, MIN,1,30,385,8.2,385,2,2,1,week 6
28, JAX,1,42,389,6.7,389,3,2,0,week 6
1, CLE,1,9,94,5.9,94,0,1,1,week 7
2, DEN,1,16,105,4,105,0,0,0,week 7
3, CIN,1,8,107,8.2,107,1,1,0,week 7
4, IND,1,13,116,5.8,116,0,1,1,week 7
5, NE,1,13,147,7,147,1,5,0,week 7
6, TB,1,16,170,7.7,170,2,0,0,week 7
7, NO,1,20,189,6.5,189,1,2,0,week 7
8, CHI,1,17,190,6.8,190,1,1,1,week 7
9, LAC,1,20,190,7,190,2,1,1,week 7
10, DET,1,19,191,7.6,191,1,2,1,week 7
11, WAS,1,23,194,5.5,194,2,3,1,week 7
12, DAL,1,21,195,7.5,195,0,4,3,week 7
13, GB,1,20,198,6,198,2,0,0,week 7
14, JAX,1,19,200,6.7,200,1,0,0,week 7
15, NYJ,1,24,219,4.8,219,0,1,0,week 7
16, BAL,1,22,223,8.3,223,0,3,2,week 7
17, TEN,1,33,227,5.2,227,1,1,1,week 7
18, HOU,1,21,236,8.7,236,1,2,0,week 7
19, MIA,1,32,246,5.6,246,1,0,0,week 7
20, PIT,1,21,261,7.5,261,1,1,0,week 7
21, SEA,1,33,276,5.4,276,2,2,1,week 7
22, CAR,1,32,276,5.6,276,0,1,0,week 7
23, LV,1,28,296,7.2,296,2,0,0,week 7
24, NYG,1,22,310,7,310,0,1,1,week 7
25, KC,1,29,343,7.5,343,2,1,1,week 7
26, AZ,1,32,409,8.3,409,4,0,0,week 7
27, SF,1,25,417,11.6,417,3,2,1,week 7
28, ATL,1,34,459,10.9,459,3,0,0,week 7
1, HOU,1,6,40,4,40,0,1,1,week 8
2, DEN,1,18,114,3.7,114,1,2,0,week 8
3, TEN,1,17,118,3.9,118,1,0,0,week 8
4, DAL,1,18,131,5.5,131,2,1,1,week 8
5, NO,1,23,145,3.7,145,0,0,0,week 8
6, SEA,1,17,147,4.7,147,0,3,2,week 8
7, PHI,1,27,156,3.9,156,1,2,1,week 8
8, NYJ,1,24,161,4.6,161,1,1,0,week 8
9, SF,1,22,167,5.1,167,1,0,0,week 8
10, WAS,1,17,189,8.2,189,0,2,2,week 8
11, NYG,1,23,190,5.6,190,2,1,1,week 8
12, BUF,1,19,190,6.3,190,2,0,0,week 8
13, CLE,1,25,193,5.5,193,2,1,1,week 8
14, AZ,1,24,208,5.8,208,2,1,1,week 8
15, GB,1,13,216,8.6,216,2,1,0,week 8
16, TB,1,27,222,5.8,222,2,0,0,week 8
17, JAX,1,18,230,7.7,230,1,0,0,week 8
18, LV,1,23,231,7.5,231,2,0,0,week 8
19, CAR,1,20,239,8.5,239,3,1,0,week 8
20, CHI,1,21,242,9,242,2,0,0,week 8
21, LAR,1,22,257,9.9,257,3,1,0,week 8
22, IND,1,23,266,8.6,266,1,0,0,week 8
23, CIN,1,17,268,11.7,268,1,1,1,week 8
24, PIT,1,20,290,9.7,290,4,0,0,week 8
25, MIN,1,31,297,6.8,297,3,2,1,week 8
26, BAL,1,26,305,6.9,305,1,1,1,week 8
27, ATL,1,19,309,8.6,309,1,0,0,week 8
28, MIA,1,27,311,8.4,311,1,0,0,week 8
29, NE,1,20,336,8.2,336,2,0,0,week 8
30, DET,1,29,369,10.2,369,3,1,1,week 8
1, NE,1,15,43,1.5,43,0,0,0,week 9
2, KC,1,5,57,3.6,57,0,0,0,week 9
3, LAC,1,12,114,5,114,0,2,2,week 9
4, MIA,1,17,116,4.1,116,3,0,0,week 9
5, MIN,1,15,126,4.5,126,2,0,0,week 9
6, NO,1,12,131,6,131,1,1,0,week 9
7, IND,1,20,133,4.4,133,1,2,1,week 9
8, PHI,1,13,135,6.1,135,2,0,0,week 9
9, BUF,1,18,136,5.4,136,1,2,1,week 9
10, GB,1,14,137,5.3,137,2,1,0,week 9
11, TB,1,13,138,5.1,138,1,3,0,week 9
12, SEA,1,25,140,4,140,2,3,1,week 9
13, CIN,1,17,164,5.5,164,2,1,1,week 9
14, NYJ,1,18,183,5.4,183,0,2,0,week 9
15, BAL,1,20,195,6.5,195,1,0,0,week 9
16, HOU,1,21,217,8,217,2,2,1,week 9
17, CAR,1,25,223,7.2,223,1,1,0,week 9
18, LV,1,25,235,7.6,235,1,1,1,week 9
19, ATL,1,30,245,5.7,245,1,1,1,week 9
20, WAS,1,23,245,6,245,2,0,0,week 9
21, JAX,1,21,248,6.9,248,2,1,1,week 9
22, AZ,1,26,263,7.7,263,2,1,0,week 9
23, LAR,1,36,272,4.7,272,1,0,0,week 9
24, DET,1,23,283,6.6,283,1,2,0,week 9
